"","GEOID","NAME","TotPop","White","Black","AI","Asian","Pac_il","Other_Race","Multi_Race","MedInc","Pop25","HS","GED","Assoc","Bach","Mast","ProfDeg","Doct","TotalHouse","Occupied","Vacant","TotalOcc","Own","Rent"
"79","42101036501","Census Tract 365.01, Philadelphia County, Pennsylvania",4833,3605,656,6,483,0,35,48,59402,3709,1106,208,222,745,306,41,62,2213,2168,45,2168,1104,1064
"80","42101029000","Census Tract 290, Philadelphia County, Pennsylvania",9054,1270,3373,0,1832,0,2426,153,43209,4939,1713,170,87,881,58,0,0,2247,2112,135,2112,1228,884
"81","42101024400","Census Tract 244, Philadelphia County, Pennsylvania",3482,220,2940,145,0,0,0,177,52826,2085,378,122,135,531,88,104,26,1307,1058,249,1058,610,448
"82","42101037600","Census Tract 376, Philadelphia County, Pennsylvania",3505,1685,735,0,763,0,120,202,94399,3130,468,88,96,1008,511,296,131,1868,1716,152,1716,477,1239
"83","42101003001","Census Tract 30.01, Philadelphia County, Pennsylvania",3419,1204,610,1,1239,0,121,244,49132,2934,687,52,206,954,173,71,21,1833,1544,289,1544,907,637
"84","42101002701","Census Tract 27.01, Philadelphia County, Pennsylvania",3899,2566,402,83,437,0,229,182,84055,3268,380,65,175,1123,536,147,29,2051,1877,174,1877,1116,761
"85","42101020701","Census Tract 207.01, Philadelphia County, Pennsylvania",4191,3488,203,0,102,0,66,332,109959,3470,245,20,115,1641,687,352,98,2009,1935,74,1935,1051,884
"86","42101036201","Census Tract 362.01, Philadelphia County, Pennsylvania",5306,4640,137,0,46,0,36,447,77788,4086,1271,88,389,833,266,10,20,2075,1985,90,1985,1338,647
"87","42101026500","Census Tract 265, Philadelphia County, Pennsylvania",5523,67,5250,0,0,0,46,160,42038,3066,1048,288,196,231,128,0,0,1821,1674,147,1674,1162,512
"88","42101030600","Census Tract 306, Philadelphia County, Pennsylvania",7058,2940,2443,0,453,0,873,349,58349,5081,1321,477,247,486,475,10,15,3043,2805,238,2805,1766,1039
"89","42101038000","Census Tract 380, Philadelphia County, Pennsylvania",2412,1696,198,0,57,0,378,83,45417,1491,691,71,24,264,10,0,0,889,762,127,762,477,285
"90","42101012203","Census Tract 122.03, Philadelphia County, Pennsylvania",863,209,176,0,300,87,0,91,63190,674,23,9,13,286,66,107,9,849,567,282,567,0,567
"91","42101000200","Census Tract 2, Philadelphia County, Pennsylvania",3414,1063,225,0,1888,0,3,235,91067,2714,329,26,189,1042,142,114,113,1739,1628,111,1628,875,753
"92","42101010200","Census Tract 102, Philadelphia County, Pennsylvania",3507,125,3333,0,0,0,0,49,28992,2217,812,28,78,171,222,0,0,1658,1363,295,1363,497,866
"93","42101014400","Census Tract 144, Philadelphia County, Pennsylvania",5090,3316,490,0,349,0,726,209,117904,4046,364,63,179,1579,519,300,210,2645,2446,199,2446,1373,1073
"94","42101013401","Census Tract 134.01, Philadelphia County, Pennsylvania",2925,2506,266,0,86,0,0,67,107823,2710,242,55,108,956,547,364,182,1915,1762,153,1762,1103,659
"95","42101012201","Census Tract 122.01, Philadelphia County, Pennsylvania",2828,716,1583,0,377,0,0,152,36646,2320,427,0,160,864,211,126,18,2372,2042,330,2042,0,2042
"96","42101021800","Census Tract 218, Philadelphia County, Pennsylvania",5198,3304,933,0,313,0,135,513,67663,3876,552,39,308,1204,611,162,80,2660,2541,119,2541,779,1762
"97","42101030502","Census Tract 305.02, Philadelphia County, Pennsylvania",7469,1491,3307,17,464,0,678,1512,55634,3761,1282,258,213,432,168,38,29,2002,1859,143,1859,1347,512
"98","42101014202","Census Tract 142.02, Philadelphia County, Pennsylvania",2355,1717,90,0,221,0,152,175,128098,2064,196,0,78,805,402,302,23,1489,1325,164,1325,425,900
"99","42101010700","Census Tract 107, Philadelphia County, Pennsylvania",3527,201,2975,297,0,0,18,36,36006,1948,583,211,51,214,59,0,36,1633,1184,449,1184,484,700
"100","42101031402","Census Tract 314.02, Philadelphia County, Pennsylvania",6426,1837,789,14,2038,0,1033,715,51546,3896,1034,157,95,305,123,18,18,1830,1769,61,1769,1033,736
"101","42101021100","Census Tract 211, Philadelphia County, Pennsylvania",2514,1789,249,0,122,0,215,139,64770,1783,266,32,57,666,339,34,135,1286,1286,0,1286,812,474
